,Name,Desc,Framework Type,Related Platform / Languages,Added,Framework Provider,Asset Home Page (URL),Repository / Source Code,Version,Terms Of Service URL,Is the Framework Source Code Non-Proprietary ?,Type of License if Non-Proprietary,Device specific,Framework does not belong to a Company,Docs Home Page URL,Supported Request Formats,Supported Response Formats,Offers Hypermedia Support
10,Astera Centerprise .NET Framework, The Astera Centerprise .NET Framework assists in data integration for business applications. Centerprise aims to ease the use of Microsoft .NET APIs.,Framework,.Net,"December 27, 2018",Zendesk,https://astera.zendesk.com/hc/en-us/articles/115000510183%20,,,,Yes,,No,No,,,XML,No
11,Yabeda Ruby Framework," The Yabeda Ruby Framework is a Ruby instrumentation framework that makes it easier for developers to monitor their Ruby applications. This framework works with Rails, Sidekiq, and Prometheus.",Framework,Ruby,"January 12, 2019",Evil Martians,https://evilmartians.com/chronicles/meet-yabeda-modular-framework-for-instrumenting-ruby-applications,https://github.com/yabeda-rb/yabeda,0.1.3,,Yes,,No,No,,Unspecified,Unspecified,No
12,Planaria JavaScript Framework," The Planaria Framework allows you to build a server-less application, and run a specialized Planaria backend as a service plus more. Planaria is a JavaScript framework that is containerized as an API Microservice and powered by Bitcoin.",Framework,JavaScript,"March 18, 2019",Planaria,https://docs.planaria.network/,https://github.com/interplanaria/planaria,,https://github.com/interplanaria/planaria/blob/master/LICENSE,Yes,The MIT License,No,No,https://docs.planaria.network,URI Query String/CRUD,"JSON, URI Query String/CRUD",No
13,Google AMP JavaScript Framework," AMP is a JavaScript web component framework to create user-first; websites, stories, ads and emails. Google organizes information and makes it accessible for products and platforms for Search, Maps, Gmail, Android, Google Play, Chrome and YouTube.",Framework,JavaScript,"April 17, 2019",Google,https://developers.google.com/amp,https://playground.amp.dev,,https://github.com/ampproject/docs/blob/future/LICENSE,Yes,Apache 2 license,No,No,https://amp.dev,JSON,JSON,No
14,Hapi.js," Hapi.js is a configuration-centric framework that allows developers to reuse application logic in a ""highly modular and prescriptive approach"". Hapi.js offers built-in support for input validation, caching, authentication, and others. This framework is used to build enterprise-quality web applications and services.",Framework,Node.js,"September 7, 2016",,http://hapijs.com/,https://github.com/hapijs/hapi,15.0.4,,No,,No,No,,Unspecified,Unspecified,No
15,dotConnect ADO.NET Data Providers Framework," The dotConnect ADO.NET Data Providers Framework offers a data connectivity service designed to build data-related applications. This framework integrates with high performance data providers for the major databases and popular cloud applications. The dotConnect ADO.NET Data Providers Framework supports LINQ to entities and entity SQL, Entity Framework Canonical Functions, dynamic database creation and deletion, and several database-specific features such as stored procedures. Additionally, the dotConnect ADO.NET Data Providers Framework provides wide support for database types including Oracle CURSORs and SDO_GEOMETRY.",Framework,.Net,"November 16, 2018",Devart,https://www.devart.com/dotconnect/,,,,Yes,,No,No,,Unspecified,Unspecified,No
16,Webix Jet," Webix Jet is a micro framework for Webix UI-based single-page applications that work with big amounts of data. Webix Jet allows you to create flexible, easily maintainable apps, where data and visual presentations are clearly separated, interface elements can be easily combined and reused, all parts can be developed and tested separately - all with minimal code footprint. It has a ready to use solution for all kinds of tasks, from simple admin pages to fully-fledged apps with multiple locales, customizable skins, and user access levels.",Framework,JavaScript,"November 20, 2018",XB Software,https://webix.com/webixjet/,https://github.com/webix-hub/webix-jet,6.0,https://github.com/webix-hub/webix-jet,Yes,The MIT License ,No,No,https://docs.webix.com/,Unspecified,Unspecified,No
17,ThinkGeo .NET Framework," The ThinkGeo .NET Framework allows developers to build their own .NET mapping applications for mobile, desktop, and web platforms. ThinkGeo provides a suite of GIS tools that includes vector and imagery maps, routing, geocoding, and elevation. These tools are available in three versions: an online cloud server with a RESTful API, an on-premises version that runs on Windows or Linux, or as objects that can ship to a desktop application royalty-free.",Framework,".Net,C#","September 7, 2018",,https://thinkgeo.com/,https://github.com/thinkgeo,,,Yes,,No,No,http://wiki.thinkgeo.com/wiki/,Unspecified,Unspecified,No
18,RadiJS JavaScript Framework," The RadiJS JavaScript Framework is a high-speed, minimal application development interface. The framework draws its high-speed credential from the absence of doffing algorithms or virtual doms.",Framework,JavaScript,"June 30, 2018",,https://github.com/radi-js/radi,,,https://github.com/radi-js/radi/blob/master/LICENSE,Yes,MIT,No,No,https://github.com/radi-js/radi,,,No
19,LabStack Echo Go Framework, The LabStack Echo Go Framework provides a high-performance golang platform. The framework supports the construction of scalable RESTful APIs.,Framework,Go,"June 29, 2018",LabStack,https://github.com/labstack/echo,,3.3.5,https://github.com/labstack/echo/blob/master/LICENSE,Yes,MIT,No,No,https://github.com/labstack/echo,JSON,JSON,No
20,Ghost Division OSINT Python Framework," The Ghost Division OSINT Python Framework performs various techniques on Companies, People, Phone Number, Bitcoin Addresses, aggregating raw data, and giving data in multiple formats.
Linked to the ",Framework,Python,"September 24, 2018",DataSploit,https://github.com/DataSploit/datasploit,,,,Yes,,No,No,,Unspecified,"JSON, Text",No
21,Magic xpa Web Application Framework," Magic Software's Magic xpa Web Application Framework allows you to easily create apps with AngularJS via Magic, HTML and CSS.
The xpa Web Application Framework is used with Magic Studio to define your business logic and easily generate Angular code via one-click using the Magic Converter. This creates ready-to-use AngularJS code and is easily customizable with screens that can be updated using HTML and CSS in any design tool.
The Framework has the ability to easily create large scale apps (often a sore point when working with Angular) and boosts the speed of app development.",Framework,JavaScript,"August 22, 2018",Magic Software,https://www.magicsoftware.com/magic-xpa-web-application-framework,,4.0,https://www.magicsoftware.com/terms-use,No,,No,No,,Unspecified,Unspecified,No
22,Pure CSS Framework," The Pure CSS Framework features a modular CSS minimal interface for web applications. Its modules are equipped with a variety of styles, and form components alongside buttons, tables, responsive grids, and menus. The framework is compatible with a variety of browsers including IE 8+, iOS 6-8, and Android 4.x as well as latest versions of Chrome, Firefox, and Safari.",Framework,"CSS,JavaScript","June 29, 2018",Yahoo,https://purecss.io/,https://github.com/pure-css/pure/,1.0.0,https://github.com/pure-css/pure/blob/master/LICENSE,Yes,BSD-3,No,No,https://purecss.io/,JSON,"HTML, JSON",No
23,CFPB Capital CoffeeScript Framework, The CFPB Capital CoffeeScript Framework provides a CoffeScript interface for the Consumer Financial Protection Bureau (CFPB).,Framework,CoffeeScript,"June 29, 2018",Consumer Financial Protection Bureau,https://github.com/cfpb/capital-framework,,7.1.0,https://github.com/cfpb/capital-framework/blob/canary/LICENSE,Yes,CC0-1.0,No,No,https://github.com/cfpb/capital-framework,URI Query String/CRUD,JSON,No
24,Facebook React 360 JavaScript Framework," Facebook React 360 JavaScript Framework allows you to create interactive browser-based 360˚ experiences. It is crucial for pairing powerful web APIs, such as WebGL and WebVR, with the React ecosystem, when creating apps that can be deployed across devices. Its deployment requires the onwards of NodeJS 6.0.0 and the onwards of yarn or npm 3.0.0 package managers.",Framework,"JavaScript,Node.js","June 30, 2018",Facebook,https://facebook.github.io/react-360/,https://github.com/facebook/react-360,1.0.1,https://github.com/facebook/react-360/blob/master/LICENSE,Yes,BSD-3,No,No,https://facebook.github.io/react-360/docs/setup.html,JSON,JSON,No
25,Jovo Node.js Framework, The Jovo Node.js Framework assists in building cross-platform Voice Apps for Amazon Alexa and Google Assistant.,Framework,Node.js,"June 25, 2018",Jovo,https://github.com/jovotech/jovo-framework-nodejs,,,,Yes,,No,No,,,JSON,No
26,Amio.io Chatbot Builder JavaScript Framework," This chatbot creating framework provided by Amio reacts to Webhooks, and can be customized with NLP capabilities and analytics. Akin to the REST and Webhooks APIs, this framework supports Facebook Messenger, Viber, and SMS.",Framework,JavaScript,"July 25, 2018",,https://github.com/amio-io/amio-chatbot-builder-js,,1.2.0,https://amio.io/terms-of-services,Yes,MIT,No,No,https://docs.amio.io/reference,Webhooks,"JSON, URI Query String/CRUD",No
27,Ulkit JavaScript Framework, The Ulkit JavaScript Framework provides lightweight and modular front-end interface for constructing high-speed web apps using JavaScript and CSS language platforms. Its design offers unified styles and flexible customization options as well as useful modifier classes.,Framework,JavaScript,"June 29, 2018",,https://getuikit.com/docs/introduction,https://github.com/uikit/uikit,3.0.0,https://github.com/uikit/uikit/blob/develop/LICENSE.md,Yes,MIT,No,No,https://getuikit.com/docs/introduction,JSON,"HTML, JSON",No
28,NativeScript," NativeScript, by Progress Software, allows you to build cross-platform, native iOS and Android apps without web views. You can use Angular, TypeScript or modern JavaScript to get truly native UI and performance while reusing the skills and the code from your web projects. Get 100% access to native APIs via JavaScript and reuse of packages from npm, CocoaPods and Gradle. Open source and backed by Progress. NativeScript is designed to give you significant code reuse between your web and mobile tiers and gives you direct access to every native platform API.
NativeScript is free and is open source.",Framework,JavaScript,"June 11, 2018",Progress Software,https://www.progress.com/nativescript,https://github.com/NativeScript/NativeScript,4,https://www.progress.com/legal/terms-of-use,Yes,Apache 2.0,No,No,https://docs.nativescript.org/,JSON,"JSON, XML",No
29,Apache Weex JavaScript Framework," The Apache Weex VueJS Framework is a platform for constructing cross-platform user interfaces for mobile applications. Built in a design that resembles React Native, the framework simplifies the implementation of CSS, HTML, and JavaScript concepts for developing Java-based Android and Swift-based iOS mobile apps. It provides a variety of built-in components, APIs, and other useful tools. Apache Weex is still a Beta project.",Framework,"CSS,JavaScript","June 29, 2018",Apache Software Foundation,https://weex.apache.org/,,,http://www.apache.org/licenses/LICENSE-2.0,Yes,Apache 2.0,No,No,https://weex.apache.org/,URI Query String/CRUD,JSON,No
30,Just-API Node.js Framework," The Just-API Node.js Framework serves as an API tester. It supports REST, GraphQL, and HTTP-based interfaces. The test results are returned in JSON and HTML after making server calls in a YAML file.",Framework,Node.js,"July 11, 2018",Independent Developer,https://github.com/kiranz/just-api,,,,Yes,,No,No,,YAML,JSON,No
31,SpriteJS Framework," The SpriteJS Framework allows creating sprites for animation and video games. Tested on WebKit, Firefox, Android phones, Opera and IE9.",Framework,JavaScript,"June 7, 2018",,http://spritejs.readthedocs.io/en/latest/,https://github.com/batiste/sprite.js,,,Yes,,No,No,https://github.com/batiste/sprite.js/blob/master/doc/source/api.rst,,,No
32,Aegis Go Framework, The Aegis Go Framework is a serverless Golang deploy tool and framework for AWS Lambda. See original article at https://serifandsemaphore.io/build-a-serverless-api-in-seconds-with-go-c504398d86f6,Framework,Go,"June 5, 2018",Independent Developer,https://github.com/tmaiaroto/aegis,,,,Yes,,No,No,,GraphQL,,No
33,Bootstrap JS Framework," The Bootstrap JS Framework helps to build responsive mobile sites, thinking in scalable CSS format. The Bootstrap team invites developers to write and maintain vanilla JavaScript plugins and improving tooling processes for frontend code.",Framework,JavaScript,"June 5, 2018",Bootstrap,https://getbootstrap.com/,,4.1,,Yes,,No,No,,,,No
34,ZURB Foundation JS Framework," The ZURB Foundation JS Framework aims to design responsive websites, applications, and emails. It provides semantic, readable, flexible, and customizable features.",Framework,JavaScript,"June 5, 2018",ZURB,https://foundation.zurb.com/sites/docs/,,6.4.3,,Yes,,No,No,,,,No
35,Baliba PHP Framework," The Baliba PHP Framework uses arrays, aiming to simplify API documentation writing. Instructions available in English and Haitian Creole.",Framework,PHP,"April 11, 2018",,https://baliba.monkata.com/baliba/,,,,Yes,,No,No,,JSON,JSON,No
36,Orienteer Java Framework, The Orienteer Java Framework is an open source business application platform with flexible and dynamically configurable APIs.,Framework,Java,"October 19, 2017",,http://orienteer.org/,https://github.com/OrienteerBAP/Orienteer,1.3,,Yes,Apache License 2,No,No,https://orienteer.gitbooks.io/orienteer/content/,"CSV, JSON","CSV, JSON",No
37,Fanout.io Python Framework," The Fanout.io Python Framework is a hybrid reverse proxy and message broker, pushing data to connected devices. Open technology runs Fanout in the cloud and servers. Developers will work with Python, C, and C++ languages by using Fanout.",Framework,"C,C++,Python","October 2, 2017",Fanout,https://fanout.io/,https://github.com/fanout,,https://fanout.io/legal/terms-of-service/,Yes,GNU,No,No,https://fanout.io/docs/,XMPP,JSON,No
38,gSOAP C++ Framework," The gSOAP C++ Framework is a toolkit of portable C and C++ software to develop XML Web services with powerful type-safe XML data bindings. Easy-to-use code-generator tools allow to directly integrate XML data in C and C++. Serializes native application data in XML. Includes WSDL/XSD schema binding and auto-coding tools, stub/skeleton compiler. Offers robust Web server integration with Apache module and IIS extension. High-performance with XML pull parsing with schema validation. Supports XML SOAP and REST protocols, fast MIME/MTOM streaming, WS-Security, WS-Policy, WS-Discovery, WS-ReliableMessaging, WS-Addressing, XML-RPC and JSON.",Framework,"C,C++,Objective-C","September 3, 2017",Genivia,https://www.genivia.com/dev.html,https://sourceforge.net/projects/gsoap2,2.8.53,,Yes,GPLv2,No,No,https://www.genivia.com/docs.html,"JSON, SOAP, WSDL, XML","JSON, SOAP, XML",No
39,Graphcool," Graphcool is an open-source backend development framework to develop and deploy production-ready GraphQL microservices. With Graphcool you can design your data model and have a production ready GraphQL API online in minutes.
The framework integrates with cloud-native serverless functions and is compatible with existing libraries and tools like GraphQL.js and Apollo Server. The framework offers an opinionated backend setup, including GraphQL database mapping, subscriptions & permission system. Graphcool comes with a CLI and a Docker-based runtime which can be deployed to any server or cloud.",Framework,"JavaScript,Node.js","May 23, 2018","Graphcool,Prisma",https://www.graph.cool/,https://github.com/prismagraphql/graphcool-framework,0.11.6,https://github.com/prismagraphql/content/blob/master/static/legal/terms.md,Yes,Apache 2.0,No,No,,JSON,JSON,No
40,Bugfender Android Framework, iOS Framework and Android Library to send logs to the Bugfender cloud storage with a single API call.,Framework,"Java,Objective-C,Swift","May 19, 2016",,https://bugfender.com,,,,Yes,,Yes,No,,,,No
41,WavesDevKit JavaScript Framework, The WavesDevKit JavaScript Framework supports interaction with the Waves Platform. Use the framework’s Javascript platform to create transactions and access crucial Waves functions.,Framework,JavaScript,"February 17, 2018",Waves Platform,https://github.com/wavesplatform/WavesDevKit,,0.8,https://github.com/wavesplatform/WavesDevKit/blob/master/LICENSE,Yes,MIT,No,No,https://github.com/wavesplatform/WavesDevKit,URI Query String/CRUD,JSON,No
42, ASP.Net Boilerplate Framework," The ASP.Net Boilerplate Framework assists to develop web application targeting localization services. Developers can build on Microsoft Studio, .NET Core, Entity, Angular, Bootstrap, Swagger, NPM, and jQuery. The framework includes an API in XML and JSON formats and sample code. To learn more, visit https://aspnetboilerplate.com/Pages/Documents/Localization",Framework,.Net,"January 29, 2018",,https://aspnetboilerplate.com/,,,,Yes,,No,No,,JSON,JSON,No
43,Jersey Java Framework, The Jersey Framework aims to simplify RESTful services and client developments. With Jersey developers can track JAX-RS APIs using Java and Java Virtual Machine.,Framework,Java,"March 6, 2018",Oracle,https://jersey.github.io/,,1,,Yes,,No,No,,,,No
44,Mobi Mobile CSS Framework, The lightweight Mobi Mobile CSS Framework provides a flexible platform for building web applications.,Framework,CSS,"January 15, 2018",Mobi Mobile,https://github.com/mobi-css/mobi.css,,3.1.1,https://github.com/mobi-css/mobi.css/blob/master/LICENSE,Yes,MIT,No,No,https://github.com/mobi-css/mobi.css,,,Yes
45,i18next JavaScript," The i18next Framework written in JavaScript provides internationalization, localization, and translation features. Plugins allow detecting languages, load translations, cache translations.",Framework,JavaScript,"January 25, 2018",i18next,https://www.i18next.com/,,,,Yes,,No,No,,JSON,JSON,No
46,A-Frame JavaScript Virtual Reality Framework, A-Frame Virtual Reality JavaScript Framework allows you to build virtual reality (VR) experiences. Mozilla is credited for introducing A-Frame as a simple but powerful solution for developing VR content. The framework’s documentation provides various examples of its usage.,Framework,JavaScript,"January 18, 2018",Mozilla,https://aframe.io/docs/0.7.0/introduction/,https://github.com/aframevr/aframe/tree/master/,0.7.0,https://github.com/aframevr/aframe/blob/master/LICENSE,Yes,MIT,No,No,https://aframe.io/docs/0.7.0/introduction/,JSON,JSON,No
47,Sibers PHP Framework," The Sibers PHP Framework helps to create API projects, allowing developers to design data models, interact with a REST API, and use JSON-LD, Hydra, HAL, YAML, JSON, XML and CSV as formats.",Framework,PHP,"January 18, 2018",,https://github.com/awersatos/sibers-api,,,,Yes,,No,No,,"CSV, HAL, JSON, JSON-LD, XML, YAML","CSV, HAL, JSON, JSON-LD, XML, YAML",No
48,Uber LumaGL JavaScript Framework, The Uber LumaGL JavaScript Framework is a browser-based data visualization solution. Its lumaGL-provided building blocks are equipped with the user-friendly webGL2 feature for enhancing data visualizations and computations on browsers.,Framework,JavaScript,"January 16, 2018",Uber,https://github.com/uber/luma.gl,,5.0.1,https://github.com/uber/luma.gl/blob/master/LICENSE,Yes,MIT,No,No,https://github.com/uber/luma.gl,,,No
49,Grd Flexbox CSS Framework by Shogo Sensui, The Grd Flexbox CSS Framework by Shogo Sensui allows you to create CSS applications using Flexbox.,Framework,CSS,"January 15, 2018",Independent Developer,https://github.com/1000ch/grd,,1.2.2,https://github.com/1000ch/grd/blob/master/license,Yes,MIT,No,No,https://github.com/1000ch/grd,,,Yes
50,MUI Material Design CSS Framework," The MUI Material Design CSS Framework is a lightweight builder platform that prescribes to Google’s Material Design guidelines. Its fast, small, and user friendly design guarantees quality results. It features small footprint (mui.min.css – 66K, mui.min), responsive grid for implementing mobile-friendly sites, and customizable CSS library as well as JS and email libraries. The framework supports the onwards of IE10, iOS 6, and latest Chrome, Firefox, and Safari browsers.",Framework,CSS,"January 16, 2018",MUI,https://www.muicss.com/,https://github.com/muicss/mui,0.9,https://github.com/muicss/mui/blob/master/LICENSE.txt,Yes,MIT,No,No,https://www.muicss.com/,URI Query String/CRUD,URI Query String/CRUD,No
51,Milligram CSS Framework, The Milligram CSS Framework supports the development of design applications. Its design simplifies style setups and expedites app development.,Framework,CSS,"January 15, 2018",Milligram,https://github.com/milligram/milligram,,1.3.0,https://github.com/milligram/milligram/blob/master/license,Yes,MIT,No,No,https://github.com/milligram/milligram,,,Yes
52,Spectre CSS Framework by Yan Zhu," The Spectre CSS Framework by Yan Zhu provides a simple platform for implementing CSS design concepts. The framework features modern base styles and responsive layout system as well as CSS components and utilities. Install the framework manually or deploy it using npm, Yarn, or Bower.",Framework,CSS,"January 15, 2018",Independent Developer,https://picturepan2.github.io/spectre/,https://github.com/picturepan2/spectre,0.5.0,https://github.com/picturepan2/spectre/blob/master/LICENSE,Yes,MIT,No,Yes,https://picturepan2.github.io/spectre/,,,Yes
53,Strapi Content Management NodeJS Framework, The Strapi NodeJS Content Management Framework simplifies the development of powerful CMS APIs. The framework features headless-CMS.,Framework,Node.js,"January 5, 2018",Strapi,https://github.com/strapi/strapi,,3.0.0,https://github.com/strapi/strapi/blob/master/LICENSE.md,Yes,MIT,No,No,https://github.com/strapi/strapi,,,No
54,Nozzle React Static JavaScript Framework," The Nozzle React-Static JavaScript Framework allows you to construct applications using the React platform. The framework supports the development of static-progressive websites and react applications. Use the framework to interact with different platforms of the React ecosystem including CSS-in-JS libraries, GraphQL, and Redux.",Framework,JavaScript,"January 5, 2018",Nozzle,https://github.com/nozzle/react-static,,4.8.2,https://github.com/nozzle/react-static/blob/master/LICENSE,Yes,MIT,No,No,https://github.com/nozzle/react-static,,,No
55,Intercellular Cell JavaScript Framework, The Intercellular Cell JavaScript Framework is self-constructing web application. It is powered by a self-driving DOM.,Framework,JavaScript,"January 5, 2018",CellJS,https://www.celljs.org/,https://github.com/intercellular,1.2.0,https://github.com/intercellular/cell/blob/develop/LICENSE,Yes,MIT,No,No,https://www.celljs.org/,,,No
56,Squarespace CSS Dossier Framework by Squarespace," The Squarespace CSS Dossier Framework by Squarespace is a template for grid-style blogs. The framework’s functional attributes include grid-style blog list page offering a variety of layout options and item header for fullscreen blog, among others. A Node Package Manager allows developers to initiate dependency management and run build scripts. The framework is a proprietary platform and developers are required to comply with the Squarespace TOS when using it.",Framework,CSS,"August 28, 2017",Squarespace,https://github.com/Squarespace/dossier-framework,,,http://developers.squarespace.com/developer-terms-of-use,No,,No,No,https://github.com/Squarespace/dossier-framework,XML,XML,No
57,Recon-ng Python Framework," The Recon-ng Python Framework provides independent modules, database interaction, built in convenience functions, interactive help, and command completion. Recon-ng offers an environment in which open source web-based reconnaissance can be conducted quickly and thoroughly.",Framework,Python,"May 1, 2018",Independent Developer,https://bitbucket.org/LaNMaSteR53/recon-ng,,,,Yes,,No,No,,,,No
58,Socket.io," Socket.io is a NodeJS realtime framework server. Socket.IO is composed of two parts: a server that integrates with or mounts onto the NodeJS HTTP server and a client library that loads on the browser side. It allows you to
send and receive any events, with any data. It uses objects that can be encoded as JSON, as well as binary data.",Framework,Node.js,"April 20, 2014",Socket.io,https://socket.io/get-started/,https://github.com/socketio/socket.io,,https://github.com/socketio/socket.io/blob/master/LICENSE,Yes,The MIT License (MIT),No,No,https://socket.io/docs/,JSON,"JSON, Webhooks",Yes
59,Sunrise Shop Framework Java Sample Code by Commercetools," The Sunrise Shop Framework Java Sample Code by Commercetools provides a live demo to demonstrate eCommerce implementation. By viewing the course with right click, developers will know how the framework was integrated into a clothing store.",Framework,Java,"May 26, 2017",Commercetools,https://demo.commercetools.com/en/home,,,,Yes,,No,No,,,,No
60,Betfair Cougar Java Framework by Betfair, The Betfair Cougar Java Framework by Betfair simplifies the development of network exposed service interfaces on Java platforms. The framework’s current version is 3.2.1.,Framework,Java,"June 22, 2017",Betfair,https://github.com/betfair/cougar,,3.2.1,https://github.com/betfair/cougar/blob/master/LICENSE,Yes,https://github.com/betfair/cougar/blob/master/LICENSE,No,No,https://github.com/betfair/cougar,XML,XML,No
61,Yoctol Bottender JavaScript Framework," Use the Yoctol Bottender JavaScript Framework to develop cross-platform bots for Slack, Messenger, LINE, and other platforms. The framework is written in ES6 and ES7 syntax and provides support for async await function.",Framework,JavaScript,"January 5, 2018",Yoctol Info,https://github.com/Yoctol/bottender,,0.14.13,https://github.com/Yoctol/bottender/blob/master/LICENSE,Yes,MIT,No,No,https://github.com/Yoctol/bottender,,,No
62,BloodMagic Objective-C Framework by Railsware, The BloodMagic Objective-C Framework by Railsware provides a platform for creating custom property attributes en building iOS applications.,Framework,Objective-C,"November 29, 2017",,https://github.com/railsware/BloodMagic,,1.1.0,https://github.com/railsware/BloodMagic/blob/master/LICENSE,Yes,MIT,No,No,https://github.com/railsware/BloodMagic,,,No
63,Herb Daily Marley Ruby Framework by Herb Daily," Marley enables RESTful web services and applications. Marley consists of a simple Rack application, a default controller for ORM classes, a Sequel-based plugin system, reusable resource sets, and JSON data support. The current version is 0.8.3.",Framework,Ruby,"June 9, 2016",,https://github.com/herbdaily/marley,,0.8.3,,No,,No,No,,,JSON,No
64,Javalin Kotlin Framework, The Javalin Kotlin Framework serves the lightweight REST API. An example is available at https://javalin.io/tutorials/simple-kotlin-example,Framework,Kotlin,"November 20, 2017",Javalin,https://javalin.io/,,,,Yes,,No,No,https://javalin.io/,,,No
65,Tailwind CSS Framework, The Tailwind CSS Framework is a utility-first platform for rapid UI development.,Framework,CSS,"December 30, 2017",Tailwind CSS,https://tailwindcss.com/,https://github.com/tailwindcss,0.4.0,,Yes,https://github.com/tailwindcss/tailwindcss/blob/master/LICENSE,No,No,https://tailwindcss.com/,,,No
66,Bulma CSS Framework by Jeremy Thomas," The Bulma CSS Framework by Jeremy Thomas is a CSS application development platform that is based on Flexbox. The framework’s documentation provides the installation paths for NPM, Yarn, or Bower. It supports the latest versions of Chrome, Firefox, Edge, Opera, and Safari browsers.",Framework,CSS,"December 30, 2017",Independent Developer,https://bulma.io/,https://github.com/jgthms/bulma,0.6.1,https://github.com/jgthms/bulma/blob/master/LICENSE,Yes,MIT,No,Yes,https://bulma.io/,,,No
67,Javalin Java Framework, The Javalin Java Framework serves the lightweight REST API. A getting started guide is available at https://javalin.io/documentation#getting-started,Framework,Java,"November 20, 2017",Javalin,https://javalin.io/,,,,Yes,,No,No,https://javalin.io/,,,No
68,Fastify NodeJS Framework, Fastify is a fast and low overhead web framework for NodeJS. The Fastify NodeJS Framework provides RESTful tools for interacting with the Fastify platform. It optimizes developer experience with minimum overhead and powerful plugin architecture.,Framework,Node.js,"December 30, 2017",Fastify,https://www.fastify.io/,https://github.com/fastify/fastify,0.37.0,https://github.com/fastify/fastify/blob/master/LICENSE,Yes,MIT,No,No,https://www.fastify.io/,,,No
